sentence_1,sentence_2,label,tense_sentence_1-tense_sentence_2,aspect_sentence_1-aspect_sentence_2
France is conquering Belgium,France is attacking Belgium,1,present progressive - present progressive,progressive - progressive
France is conquering Belgium,France was attacking Belgium,0,present progressive - past progressive,progressive - progressive
France is conquering Belgium,France has attacked Belgium,0,present progressive - present perfect,progressive - perfect
France is conquering Belgium,France had attacked Belgium,0,present progressive - past perfect,progressive - perfect
France is conquering Belgium,France will attack Belgium,0,present progressive - future simple,progressive - progressive
France is conquering Belgium,France attacks Belgium,1,present progressive - present simple,progressive - progressive
France is conquering Belgium,France attacked Belgium,0,present progressive - past simple,progressive - perfect
France was conquering Belgium,France is attacking Belgium,0,past progressive - present progressive,progressive - progressive
France was conquering Belgium,France was attacking Belgium,1,past progressive - past progressive,progressive - progressive
France was conquering Belgium,France has attacked Belgium,0,past progressive - present perfect,progressive - perfect
France was conquering Belgium,France had attacked Belgium,1,past progressive - past perfect,progressive - perfect
France was conquering Belgium,France will attack Belgium,0,past progressive - future simple,progressive - progressive
France was conquering Belgium,France attacks Belgium,0,past progressive - present simple,progressive - progressive
France was conquering Belgium,France attacked Belgium,1,past progressive - past simple,progressive - perfect
France has conquered Belgium,France is attacking Belgium,0,present perfect - present progressive,perfect - progressive
France has conquered Belgium,France was attacking Belgium,1,present perfect - past progressive,perfect - progressive
France has conquered Belgium,France has attacked Belgium,1,present perfect - present perfect,perfect - perfect
France has conquered Belgium,France had attacked Belgium,1,present perfect - past perfect,perfect - perfect
France has conquered Belgium,France will attack Belgium,0,present perfect - future simple,perfect - progressive
France has conquered Belgium,France attacks Belgium,0,present perfect - present simple,perfect - progressive
France has conquered Belgium,France attacked Belgium,1,present perfect - past simple,perfect - perfect
France had conquered Belgium,France is attacking Belgium,0,past perfect - present progressive,perfect - progressive
France had conquered Belgium,France was attacking Belgium,1,past perfect - past progressive,perfect - progressive
France had conquered Belgium,France has attacked Belgium,0,past perfect - present perfect,perfect - perfect
France had conquered Belgium,France had attacked Belgium,1,past perfect - past perfect,perfect - perfect
